""," "," "," "," "," Outcome, Q3 v. Q1"," "," "," "," "," "," "," "
"1"," "," "," "," ","Unadjusted"," "," "," ","Fully adjusted"," "," "," "
"2"," ","Outcome","Q1 Mean","Q3 Mean","Predicted Outcome at Q1","Predicted Outcome at Q3","Coefficient (95% CI)","P-value","Predicted Outcome at Q1","Predicted Outcome at Q3","Coefficient (95% CI)","P-value"
"3","Telomere length at Year 1","LAZ Year 1","1.17","1.7","-1.46","-1.15","0.31 (0.11, 0.5)","0.07","-1.59","-1.37","0.22 (0.04, 0.41)","0.53"
"4","","WAZ Year 1","1.17","1.7","-1.22","-1.13","0.09 (-0.12, 0.3)","0.88","-1.21","-1.21","0 (-0.21, 0.22)","0.98"
"5","","WLZ Year 1","1.17","1.7","-0.71","-0.81","-0.1 (-0.3, 0.1)","0.88","-0.7","-0.87","-0.16 (-0.37, 0.04)","0.73"
"6","","HCZ Year 1","1.17","1.7","-1.76","-1.75","0 (-0.18, 0.19)","1","-1.74","-1.73","0.01 (-0.18, 0.19)","0.98"
"7","","LAZ Year 2","1.17","1.7","-1.45","-1.24","0.21 (0.03, 0.39)","0.23","-1.57","-1.46","0.1 (-0.07, 0.28)","0.76"
"8","","WAZ Year 2","1.17","1.7","-1.48","-1.44","0.04 (-0.14, 0.21)","0.88","-1.62","-1.66","-0.04 (-0.22, 0.14)","0.87"
"9","","WLZ Year 2","1.17","1.7","-0.92","-1.04","-0.12 (-0.29, 0.04)","0.77","-0.75","-0.92","-0.17 (-0.35, 0.01)","0.61"
"10","","HCZ Year 2","1.17","1.7","-1.77","-1.8","-0.03 (-0.21, 0.14)","0.88","-1.72","-1.76","-0.04 (-0.23, 0.14)","0.87"
"11","","Change in LAZ between Year 1 and Year 2","1.17","1.7","-0.01","-0.07","-0.06 (-0.15, 0.03)","0.77","-0.27","-0.33","-0.05 (-0.15, 0.04)","0.76"
"12","","Change in WAZ between Year 1 and Year 2","1.17","1.7","-0.26","-0.27","-0.01 (-0.11, 0.09)","0.88","-0.34","-0.33","0.01 (-0.09, 0.11)","0.95"
"13","","Change in WLZ between Year 1 and Year 2","1.17","1.7","-0.27","-0.25","0.02 (-0.11, 0.15)","0.88","-0.24","-0.19","0.05 (-0.08, 0.18)","0.86"
"14","","Change in HCZ between Year 1 and Year 2","1.17","1.7","-0.04","-0.04","0 (0, 0)","1","-0.22","-0.24","-0.03 (-0.17, 0.11)","0.89"
"15","","Length velocity between Year 1 and Year 2","1.17","1.7","0.8","0.81","0.01 (-0.01, 0.03)","0.88","0.8","0.81","0.01 (-0.02, 0.03)","0.86"
"16","","Weight velocity between Year 1 and Year 2","1.17","1.7","0.15","0.15","0 (-0.01, 0.01)","0.88","0.15","0.15","0 (-0.01, 0.01)","0.94"
"17","","Head circumference velocity between Year 1 and Year 2","1.17","1.7","0.14","0.15","0.01 (0, 0.02)","0.77","0.14","0.15","0.01 (0, 0.02)","0.61"
"18","","","","","","","","","","","",""
"19","Z-score of telomere length at Year 1","LAZ Year 1","-1.17","1.19","-1.46","-1.15","0.31 (0.11, 0.5)","0.07","-1.59","-1.37","0.22 (0.04, 0.41)","0.53"
"20","","WAZ Year 1","-1.17","1.19","-1.22","-1.13","0.09 (-0.12, 0.3)","0.88","-1.21","-1.21","0 (-0.21, 0.22)","0.98"
"21","","WLZ Year 1","-1.17","1.19","-0.71","-0.81","-0.1 (-0.3, 0.1)","0.88","-0.7","-0.87","-0.16 (-0.37, 0.04)","0.73"
"22","","HCZ Year 1","-1.17","1.19","-1.76","-1.75","0 (-0.18, 0.19)","1","-1.74","-1.73","0.01 (-0.18, 0.19)","0.98"
"23","","LAZ Year 2","-1.15","1.19","-1.45","-1.24","0.21 (0.03, 0.39)","0.23","-1.57","-1.46","0.1 (-0.07, 0.28)","0.76"
"24","","WAZ Year 2","-1.16","1.18","-1.48","-1.44","0.04 (-0.14, 0.21)","0.88","-1.62","-1.66","-0.04 (-0.22, 0.14)","0.87"
"25","","WLZ Year 2","-1.15","1.19","-0.92","-1.04","-0.12 (-0.29, 0.04)","0.77","-0.75","-0.92","-0.17 (-0.35, 0.01)","0.61"
"26","","HCZ Year 2","-1.15","1.19","-1.77","-1.8","-0.03 (-0.21, 0.14)","0.88","-1.72","-1.76","-0.04 (-0.23, 0.14)","0.87"
"27","","Change in LAZ between Year 1 and Year 2","-1.15","1.19","-0.01","-0.07","-0.06 (-0.15, 0.03)","0.77","-0.27","-0.33","-0.05 (-0.15, 0.04)","0.76"
"28","","Change in WAZ between Year 1 and Year 2","-1.16","1.18","-0.26","-0.27","-0.01 (-0.11, 0.09)","0.88","-0.34","-0.33","0.01 (-0.09, 0.11)","0.95"
"29","","Change in WLZ between Year 1 and Year 2","-1.15","1.19","-0.27","-0.25","0.02 (-0.11, 0.15)","0.88","-0.24","-0.19","0.05 (-0.08, 0.18)","0.86"
"30","","Change in HCZ between Year 1 and Year 2","-1.16","1.19","-0.04","-0.04","0 (0, 0)","1","-0.22","-0.24","-0.03 (-0.17, 0.11)","0.89"
"31","","Length velocity between Year 1 and Year 2","-1.15","1.19","0.8","0.81","0.01 (-0.01, 0.03)","0.88","0.8","0.81","0.01 (-0.02, 0.03)","0.86"
"32","","Weight velocity between Year 1 and Year 2","-1.16","1.18","0.15","0.15","0 (-0.01, 0.01)","0.88","0.15","0.15","0 (-0.01, 0.01)","0.94"
"33","","Head circumference velocity between Year 1 and Year 2","-1.15","1.19","0.14","0.15","0.01 (0, 0.02)","0.77","0.14","0.15","0.01 (0, 0.02)","0.61"
