""," "," "," "," "," Outcome, Q3 v. Q1"," "," "," "," "," "," "," "
"1"," "," "," "," ","Unadjusted"," "," "," ","Fully adjusted"," "," "," "
"2"," ","Outcome","Q1 Mean","Q3 Mean","Predicted Outcome at Q1","Predicted Outcome at Q3","Coefficient (95% CI)","P-value","Predicted Outcome at Q1","Predicted Outcome at Q3","Coefficient (95% CI)","P-value"
"3","Telomere length at Year 1","LAZ Year 1","1.28","1.56","-1.36","-1.2","0.16 (0.04, 0.28)","0.27","-1.5","-1.43","0.07 (-0.03, 0.17)","0.6"
"4","","WAZ Year 1","1.28","1.56","-1.11","-1.09","0.02 (-0.13, 0.17)","0.92","-1.09","-1.16","-0.07 (-0.21, 0.07)","0.6"
"5","","WLZ Year 1","1.28","1.56","-0.66","-0.74","-0.08 (-0.22, 0.06)","0.8","-0.68","-0.82","-0.14 (-0.28, 0)","0.38"
"6","","HCZ Year 1","1.28","1.56","-1.73","-1.72","0.01 (-0.1, 0.12)","0.92","-1.56","-1.59","-0.03 (-0.14, 0.08)","0.73"
"7","","LAZ Year 2","1.28","1.56","-1.4","-1.29","0.11 (0.02, 0.21)","0.34","-1.65","-1.61","0.04 (-0.06, 0.13)","0.63"
"8","","WAZ Year 2","1.28","1.56","-1.47","-1.45","0.02 (-0.07, 0.11)","0.92","-1.55","-1.6","-0.04 (-0.14, 0.05)","0.63"
"9","","WLZ Year 2","1.28","1.56","-0.94","-1.01","-0.06 (-0.15, 0.02)","0.8","-0.73","-0.85","-0.12 (-0.23, -0.01)","0.38"
"10","","HCZ Year 2","1.28","1.56","-1.77","-1.79","-0.02 (-0.11, 0.07)","0.92","-1.78","-1.77","0.01 (0, 0.01)","0.38"
"11","","Change in LAZ between Year 1 and Year 2","1.28","1.56","-0.02","-0.06","-0.03 (-0.08, 0.02)","0.8","-0.27","-0.3","-0.03 (-0.08, 0.02)","0.6"
"12","","Change in WAZ between Year 1 and Year 2","1.28","1.56","-0.27","-0.28","-0.01 (-0.07, 0.05)","0.92","-0.38","-0.38","0 (-0.06, 0.05)","0.89"
"13","","Change in WLZ between Year 1 and Year 2","1.28","1.56","-0.27","-0.26","0.01 (-0.07, 0.08)","0.92","-0.24","-0.22","0.02 (-0.05, 0.09)","0.73"
"14","","Change in HCZ between Year 1 and Year 2","1.28","1.56","-0.04","-0.04","0 (0, 0)","1","-0.24","-0.22","0.03 (-0.04, 0.09)","0.63"
"15","","Length velocity between Year 1 and Year 2","1.28","1.56","0.8","0.8","0 (-0.01, 0.02)","0.92","0.79","0.79","0 (-0.01, 0.01)","0.74"
"16","","Weight velocity between Year 1 and Year 2","1.28","1.56","0.15","0.15","0 (0, 0.01)","0.92","0.15","0.15","0 (-0.01, 0)","0.86"
"17","","Head circumference velocity between Year 1 and Year 2","1.28","1.56","0.14","0.14","0 (0, 0.01)","0.8","0.14","0.14","0.01 (0, 0.01)","0.44"
"18","","","","","","","","","","","",""
"19","Z-score of telomere length at Year 1","LAZ Year 1","-0.67","0.56","-1.36","-1.2","0.16 (0.04, 0.28)","0.27","-1.5","-1.43","0.07 (-0.03, 0.17)","0.6"
"20","","WAZ Year 1","-0.67","0.55","-1.11","-1.09","0.02 (-0.13, 0.17)","0.92","-1.09","-1.16","-0.07 (-0.21, 0.07)","0.6"
"21","","WLZ Year 1","-0.67","0.56","-0.66","-0.74","-0.08 (-0.22, 0.06)","0.8","-0.68","-0.82","-0.14 (-0.28, 0)","0.38"
"22","","HCZ Year 1","-0.67","0.55","-1.73","-1.72","0.01 (-0.1, 0.12)","0.92","-1.56","-1.59","-0.03 (-0.14, 0.08)","0.73"
"23","","LAZ Year 2","-0.66","0.56","-1.4","-1.29","0.11 (0.02, 0.21)","0.34","-1.65","-1.61","0.04 (-0.06, 0.13)","0.63"
"24","","WAZ Year 2","-0.67","0.55","-1.47","-1.45","0.02 (-0.07, 0.11)","0.92","-1.55","-1.6","-0.04 (-0.14, 0.05)","0.63"
"25","","WLZ Year 2","-0.66","0.56","-0.94","-1.01","-0.06 (-0.15, 0.02)","0.8","-0.73","-0.85","-0.12 (-0.23, -0.01)","0.38"
"26","","HCZ Year 2","-0.66","0.56","-1.77","-1.79","-0.02 (-0.11, 0.07)","0.92","-1.78","-1.77","0.01 (0, 0.01)","0.38"
"27","","Change in LAZ between Year 1 and Year 2","-0.66","0.56","-0.02","-0.06","-0.03 (-0.08, 0.02)","0.8","-0.27","-0.3","-0.03 (-0.08, 0.02)","0.6"
"28","","Change in WAZ between Year 1 and Year 2","-0.67","0.55","-0.27","-0.28","-0.01 (-0.07, 0.05)","0.92","-0.38","-0.38","0 (-0.06, 0.05)","0.89"
"29","","Change in WLZ between Year 1 and Year 2","-0.66","0.56","-0.27","-0.26","0.01 (-0.07, 0.08)","0.92","-0.24","-0.22","0.02 (-0.05, 0.09)","0.73"
"30","","Change in HCZ between Year 1 and Year 2","-0.67","0.55","-0.04","-0.04","0 (0, 0)","1","-0.24","-0.22","0.03 (-0.04, 0.09)","0.63"
"31","","Length velocity between Year 1 and Year 2","-0.66","0.56","0.8","0.8","0 (-0.01, 0.02)","0.92","0.79","0.79","0 (-0.01, 0.01)","0.74"
"32","","Weight velocity between Year 1 and Year 2","-0.67","0.55","0.15","0.15","0 (0, 0.01)","0.92","0.15","0.15","0 (-0.01, 0)","0.86"
"33","","Head circumference velocity between Year 1 and Year 2","-0.66","0.56","0.14","0.14","0 (0, 0.01)","0.8","0.14","0.14","0.01 (0, 0.01)","0.44"
